Item, Full Name, Kaha Use Hota Hai, Function
Swing Check Valve,Swing Check Valve,Water Line,One-Way Flow,
Lift Check Valve,Lift Check Valve,Vertical Pipeline,Prevents Reverse Flow,
Dual Plate Check Valve,Dual Plate Check Valve,Fire Fighting,Higher Efficiency Backflow Prevention,
Centrifugal Pump,Centrifugal Pump,"Building Water Supply, Fire Fighting, HVAC",Transfers water by centrifugal force,
Submersible Pump,Submersible Pump,"Borewell, Underground Tank, Sump",Pumps water while fully submerged,
Jet Pump,Jet Pump,"Borewell, Domestic Water Supply",Draws water from deep wells,
Booster Pump,Booster Pump,"High Rise Buildings, Hotels",Increases water pressure,
Fire Pump,Fire Pump,Fire Fighting System,Supplies high-pressure water during fire,
Jockey Pump,Jockey Pump,Fire Fighting System,Maintains fire line pressure,
Transfer Pump,Transfer Pump,"UGT to OHT, Water Transfer",Transfers water between tanks,
Sewage Pump,Sewage Pump,"STP, Basement, Drainage",Pumps sewage and wastewater,
Drainage Pump,Drainage Pump,"Basement, Pit, Construction Site",Removes accumulated water,
Slurry Pump,Slurry Pump,"Mining, Industrial Plants",Pumps slurry and abrasive liquids,
Diaphragm Pump,Diaphragm Pump,"Chemical, Slurry, Wastewater",Pumps corrosive and dirty liquids,
Gear Pump,Gear Pump,"Hydraulic System, Oil Transfer",Pumps oil and viscous fluids,
Screw Pump,Screw Pump,"Fuel Oil, Diesel, Lubrication",Pumps high-viscosity liquids,
Progressive Cavity Pump,Progressive Cavity Pump,"STP, Food Industry, Sludge",Pumps thick and viscous fluids,
Piston Pump,Piston Pump,"Pressure Washer, Hydraulic System",Produces high-pressure flow,
Plunger Pump,Plunger Pump,"RO Plant, Hydro Testing, Boiler Feed",Produces very high pressure,
Mixed Flow Pump,Mixed Flow Pump,"Irrigation, Water Treatment",Medium head and high flow,
Axial Flow Pump,Axial Flow Pump,"Flood Control, Canal, Drainage",Very high flow with low head,
Vertical Turbine Pump,Vertical Turbine Pump,"Deep Wells, Fire Water Tank",Pumps water from deep sources,
Multistage Pump,Multistage Centrifugal Pump,"High Rise Buildings, RO Plant",Provides high pressure,
Peristaltic Pump,Peristaltic Pump,"Chemical Dosing, Laboratory",Accurate chemical dosing,
Electromagnetic Pump,Electromagnetic Pump,"Laboratory, Liquid Metal",No moving parts for conductive fluids,
Vacuum Pump,Vacuum Pump,"Medical, Laboratory, Industry",Creates vacuum by removing air,
Reciprocating Pump,Reciprocating Pump,High Pressure Applications,Pumps fluid using piston motion,
Rotary Pump,Rotary Pump,"Oil, Fuel, Lubrication",Continuous fluid transfer,
Lobe Pump,Lobe Pump,"Food, Dairy, Pharmaceutical",Gentle pumping of sensitive liquids,
Chemical Dosing Pump,Chemical Dosing Pump,"Water Treatment, STP",Adds chemicals in controlled quantity,
Condensate Pump,Condensate Pump,"HVAC, Boiler",Returns condensate water,
Circulation Pump,Circulation Pump,"Hot Water, HVAC",Circulates water continuously,
Elbow 90°,90 Degree Elbow,"Water Supply, Drainage",Changes pipe direction by 90°,
Elbow 45°,45 Degree Elbow,"Water Supply, Drainage",Changes pipe direction by 45°,
Street Elbow,Street Elbow,Tight Space Plumbing,Connects male to female fitting at 90°,
Tee,Straight Tee,Water Supply,Divides flow into two directions,
Y Tee,Wye Tee (Y Branch),"Drainage, Sewer",Provides smooth branch flow,
Cross,Cross Fitting,Water Distribution,Connects four pipes,
Reducer,Reducer,"Water Supply, Fire Fighting",Reduces pipe size,
Reducer Tee,Reducer Tee,Plumbing,Branches with reduced outlet,
Reducer Elbow,Reducer Elbow,Water Supply,Changes direction and reduces size,
Coupling,Socket Coupling,Pipe Joint,Joins two same-size pipes,
Reducer Coupling,Reducing Coupling,Pipe Joint,Joins different-size pipes,
Union,Union,"Valve, Pump Connection",Easy disconnection for maintenance,
Socket,Socket,"CPVC, UPVC, GI",Joins two pipes,
Adaptor,Male/Female Adaptor,Pipe to Threaded Fitting,Converts plain to threaded connection,
Nipple,Pipe Nipple,"GI, Brass Fittings",Short threaded pipe connection,
Hex Nipple,Hex Nipple,Valve Connection,Connects two female threaded fittings,
Barrel Nipple,Barrel Nipple,Plumbing,Extends threaded connection,
Bush,Reducing Bush,Pipe Connection,Reduces threaded outlet size,
Plug,Plug,End of Pipe,Closes female threaded opening,
Cap,End Cap,Pipe End,Closes pipe permanently,
Flange,Flange,"Pump, Valve, Large Pipe",Bolted pipe connection,
Blind Flange,Blind Flange,End of Pipeline,Closes flanged pipe end,
Compression Fitting,Compression Fitting,"CPVC, PEX, Copper",Leak-proof mechanical joint,
Saddle Clamp,Service Saddle,Water Distribution,Takes branch from main pipe,
Ferrule,Ferrule,Municipal Water Line,Service connection from main line,
P Trap,P Trap,"Wash Basin, Sink",Prevents sewer gas,
S Trap,S Trap,Floor Mounted WC,Prevents sewer gas,
Bottle Trap,Bottle Trap,Wash Basin,Collects debris and blocks sewer gas,
Floor Trap,FT,Bathroom Floor,Collects floor wastewater,
Gully Trap,GT,Outside Building,Receives wastewater before drain,
Cleanout,Cleanout,Drainage System,Allows pipe cleaning,
Expansion Joint,Expansion Joint,Long Pipeline,Absorbs thermal expansion,
Flexible Connector,Flexible Hose,"Water Heater, Pump",Absorbs vibration and eases installation,
Clamp,Pipe Clamp,Pipe Support,Holds pipe in position,
U Clamp,U Clamp,Pipe Support,Secures pipe to structure,
Pipe Hanger,Pipe Hanger,Ceiling Pipe Support,Suspends pipe from ceiling,
Anchor Fastener,Anchor Bolt,Pipe Support,Fixes supports to concrete,
GI Pipe,Galvanized Iron Pipe,"Water Supply, Fire Fighting",Carries water with corrosion protection,
MS Pipe,Mild Steel Pipe,"Fire Fighting, HVAC, Industrial",High-strength water and gas pipeline,
SS Pipe,Stainless Steel Pipe,"Hospital, Food Industry, Hot Water",Corrosion-resistant water transport,
CPVC Pipe,Chlorinated Polyvinyl Chloride Pipe,Hot & Cold Water Supply,Carries hot and cold water,
UPVC Pipe,Unplasticized Polyvinyl Chloride Pipe,"Cold Water, Drainage",Carries cold water and waste water,
PVC Pipe,Polyvinyl Chloride Pipe,"Drainage, Irrigation, Electrical Conduit",Carries wastewater and cables,
HDPE Pipe,High Density Polyethylene Pipe,"Underground Water Supply, Gas",Flexible underground water transport,
MDPE Pipe,Medium Density Polyethylene Pipe,"Gas Distribution, Water Supply",Carries gas and water,
PEX Pipe,Cross Linked Polyethylene Pipe,"Hot & Cold Water, Radiant Heating",Flexible plumbing pipe,
Copper Pipe,Copper Pipe,"Hot Water, Medical Gas, HVAC",Carries hot water and refrigerant,
Brass Pipe,Brass Pipe,"Decorative Plumbing, Gas",Connection pipe for fixtures,
Cast Iron Pipe,CI Pipe,"Drainage, Soil Line",Carries sewage and wastewater,
Ductile Iron Pipe,DI Pipe,Municipal Water Supply,High-pressure water transmission,
Concrete Pipe,RCC Pipe,"Storm Water, Sewer",Large drainage pipeline,
Stoneware Pipe,SW Pipe,Sewer Line,Underground sewage transport,
Vitrified Clay Pipe,VCP,Sewer System,Chemical-resistant sewer pipeline,
ABS Pipe,Acrylonitrile Butadiene Styrene Pipe,"Drainage, Vent System",Lightweight drainage pipe,
PP-R Pipe,Polypropylene Random Copolymer Pipe,Hot & Cold Water Supply,Long-life plumbing pipe,
Flexible Hose,Braided Flexible Hose,"Basin, WC, Geyser",Connection between fixture and pipe,
Corrugated Pipe,Corrugated HDPE Pipe,"Cable Protection, Drainage",Protects cables and drains water,
Riser Pipe,Riser Pipe,High Rise Building,Vertical water distribution,
Soil Pipe,Soil Pipe,WC to Sewer,Carries soil waste,
Waste Pipe,Waste Pipe,"Basin, Sink, Shower",Carries wastewater,
Vent Pipe,Vent Pipe,Drainage System,Removes sewer gases,
Rain Water Pipe,RWP,Roof Drainage,Carries rainwater,
Fire Sprinkler Pipe,Fire Sprinkler Pipe,Fire Fighting,Supplies water to sprinklers,
Chilled Water Pipe,CHW Pipe,HVAC,Carries chilled water,
Condenser Water Pipe,CW Pipe,HVAC,Carries condenser water,
Steam Pipe,Steam Pipe,Boiler System,Carries steam,
Gas Pipe,Gas Pipe,"LPG, PNG Supply",Carries fuel gas,
Air Pipe,Compressed Air Pipe,Pneumatic System,Carries compressed air,
Chemical Pipe,Chemical Resistant Pipe,Chemical Industry,Carries chemicals safely,
Wash Basin,Wash Basin,Bathroom,Hand Washing,
Water Closet,Water Closet (WC),Toilet,Human Waste Disposal,
Urinal,Urinal,Public Toilet,Urine Collection,
Kitchen Sink,Kitchen Sink,Kitchen,Wash Utensils,
Sink,Sink,Kitchen/Lab,Washing Purpose,
Shower,Shower,Bathroom,Bathing,
Hand Shower,Hand Shower,Bathroom,Manual Bathing,
Health Faucet,Health Faucet (HF),WC,Cleaning After Toilet,
Bib Cock,Bib Cock,"Garden, Bathroom",Water Outlet,
Pillar Cock,Pillar Cock,Wash Basin,Water Outlet,
Angle Cock,Angle Cock,"Wash Basin, WC",ON/OFF Water Supply,
Stop Cock,Stop Cock,Water Supply Line,Isolate Water Supply,
Wall Mixer,Wall Mixer,Bathroom,Mix Hot & Cold Water,
Concealed Mixer,Concealed Mixer,Shower Area,Mix Hot & Cold Water,
Flush Tank,Flush Cistern,WC,Stores Flush Water,
Flush Valve,Flush Valve,"Urinal, WC",Flush Control,
Mirror,Mirror,Bathroom,Viewing Purpose,
Soap Dispenser,Soap Dispenser,Bathroom,Dispenses Liquid Soap,
Hand Dryer,Hand Dryer,Public Toilet,Dries Hands,
Towel Ring,Towel Ring,Bathroom,Holds Towel,
Towel Rail,Towel Rail,Bathroom,Holds Towels,
Robe Hook,Robe Hook,Bathroom,Hang Clothes,
Toilet Paper Holder,Toilet Paper Holder,WC,Holds Toilet Paper,
Jet Spray,Jet Spray,WC,Personal Cleaning,
Bottle Trap,Bottle Trap,Wash Basin,Prevents Sewer Gas,
P Trap,P Trap,"Wash Basin, Sink",Prevents Sewer Gas,
S Trap,S Trap,Floor Mounted WC,Prevents Sewer Gas,
Floor Trap,Floor Trap (FT),Bathroom Floor,Collects Floor Wastewater,
Gully Trap,Gully Trap (GT),Outside Building,Collects Wastewater,
Cleanout,Cleanout (CO),Drainage System,Pipe Cleaning Access,
Inspection Chamber,Inspection Chamber (IC),Underground Drainage,Inspection & Cleaning,
Manhole,Manhole (MH),Sewer Line,Access to Sewer,
Grease Trap,Grease Trap,Kitchen Drainage,Separates Oil & Grease,
Floor Drain,Floor Drain,"Bathroom, Balcony",Drains Floor Water,
Roof Drain,Roof Drain,Roof,Drains Rain Water,
Flexible Hose,Braided Flexible Hose,"Basin, Geyser",Flexible Water Connection,
Teflon Tape,PTFE Tape,Threaded Pipe Joint,Prevents Leakage,
PVC Solvent Cement,PVC Solvent Cement,UPVC/PVC Pipe,Joins PVC Pipes,
Pipe Clamp,Pipe Clamp,Pipe Support,Holds Pipe,
Pipe Hanger,Pipe Hanger,Ceiling Pipeline,Supports Suspended Pipe,
Rubber Gasket,Rubber Gasket,Flange Joint,Leak Proof Sealing,
O Ring,O Ring,"Valve, Pump",Sealing,
Thread Sealant,Thread Sealant,Threaded Joint,Prevents Leakage,
Water Meter,Water Meter,Water Supply Line,Measures Water Consumption,
Pressure Gauge,Pressure Gauge,"Pump, Pipeline",Measures Pressure,
Flow Meter,Flow Meter,Water Supply,Measures Water Flow,
Air Vent,Air Vent,Water Pipeline,Releases Trapped Air,
Expansion Tank,Expansion Tank,Hot Water System,Absorbs Pressure Increase,
Hydropneumatic Tank,Hydropneumatic Tank,Water Supply System,Maintains Water Pressure,
Overhead Tank,Overhead Water Tank (OHT,Building Roof,Stores Water,
Underground Tank,Underground Water Tank (UGT),Basement/Ground,Stores Water,
Pipe Wrench,Pipe Wrench,"GI Pipe, MS Pipe",Tighten and loosen pipes,
Adjustable Wrench,Adjustable Spanner,Nuts and Bolts,Tighten and loosen nuts,
Combination Spanner,Combination Spanner,General Plumbing,Tighten hex nuts and bolts,
Ring Spanner,Ring Spanner,Valve Installation,Tighten nuts in tight spaces,
Open End Spanner,Open End Spanner,General Maintenance,Tighten and loosen nuts,
Allen Key,Allen Key (Hex Key),"Pumps, Valves",Tighten hex socket screws,
Screwdriver,Flat Screwdriver,"Electrical, Plumbing",Tighten flat screws,
Phillips Screwdriver,Phillips Screwdriver,General Work,Tighten cross-head screws,
Pipe Cutter,Pipe Cutter,"CPVC, Copper, PPR",Cut pipes cleanly,
PVC Pipe Cutter,PVC Pipe Cutter,"PVC, CPVC, PPR",Cut plastic pipes,
Hacksaw,Hacksaw,"GI, PVC, Metal Pipe",Cut pipes and metal,
Tube Cutter,Tube Cutter,"Copper, SS Tube",Precision tube cutting,
Pipe Threading Machine,Pipe Threading Machine,GI Pipe,Create pipe threads,
Die Set,Threading Die,GI Pipe,Cut external threads,
Tap Set,Thread Tap,Threaded Hole,Create internal threads,
Reamer,Pipe Reamer,Pipe End,Remove burrs after cutting,
Deburring Tool,Deburring Tool,Pipe End,Smooth pipe edges,
Measuring Tape,Measuring Tape,All Plumbing,Measure distance,
Steel Scale,Steel Ruler,Layout Work,Short measurements,
Spirit Level,Spirit Level,Pipe Installation,Check level,
Laser Level,Laser Level,Building Layout,Accurate leveling,
Plumb Bob,Plumb Bob,Vertical Alignment,Check verticality,
Pipe Vice,Pipe Vice,Workshop,Hold pipe during work,
Bench Vice,Bench Vice,Workshop,Hold workpiece firmly,
Chain Vice,Chain Pipe Vice,Large Pipe,Hold large diameter pipe,
Grooving Machine,Pipe Grooving Machine,Fire Fighting Pipe,Make grooves on pipes,
Roll Groover,Roll Groover,Grooved Pipe System,Create groove for coupling,
Pipe Bender,Pipe Bender,"Copper, GI Pipe",Bend pipes,
Spring Bender,Spring Pipe Bender,Small Copper Pipe,Bend without damage,
Blow Torch,Gas Blow Torch,Copper Pipe,Brazing and soldering,
Soldering Iron,Soldering Iron,Small Pipe/Electrical,Solder joints,
Heat Gun,Heat Gun,"PPR, PVC Work",Heat plastic materials,
Drill Machine,Electric Drill,"Wall, Concrete",Drill holes,
Hammer,Hammer,General Work,Drive nails and fittings,
Rubber Mallet,Rubber Hammer,PVC Pipe,Fit without damage,
Chisel,Cold Chisel,Wall Chasing,Cut concrete and brick,
Angle Grinder,Angle Grinder,Metal Pipe,Cut and grind metal,
Reciprocating Saw,Reciprocating Saw,Demolition,Cut installed pipes,
Core Cutting Machine,Core Drill,Concrete Slab,Make pipe openings,
Leak Test Pump,Hydro Test Pump,Pipeline Testing,Test pipe pressure,
Pressure Gauge,Pressure Gauge,"Pipeline, Pump",Measure pressure,
Water Level Tube,Water Level Pipe,Installation,Check same level,
Marker,Marker Pen,Layout,Mark pipe locations,
PTFE Tape,PTFE (Teflon) Tape,Threaded Joint,Prevent leakage,
PVC Solvent Cement,PVC Solvent Cement,PVC/UPVC Pipe,Bond plastic pipes,
Silicone Sealant,Silicone Sealant,Sanitary Fixtures,Seal joints,
Caulking Gun,Caulking Gun,Sealant Application,Apply sealant,
Ladder,Aluminium Ladder,Site Work,Reach height safely,
Safety Helmet,Safety Helmet,Construction Site,Head protection,
Safety Gloves,Safety Gloves,Construction Site,Hand protection,
Safety Goggles,Safety Goggles,"Cutting, Grinding",Eye protection,
Safety Shoes,Safety Shoes,Construction Site,Foot protection,
PTFE Tape,Polytetrafluoroethylene (Teflon) Tape,"Threaded Pipe Joint, GI, Brass, CPVC",Prevents Water Leakage,
Electrical Tape,PVC Electrical Insulation Tape,Electrical Wiring,Insulates Electrical Wires,
Duct Tape,Duct Cloth Tape,"HVAC, Temporary Repair",Temporary Sealing and Repair,
Masking Tape,Masking Tape,Painting Work,Protects Surface During Painting,
Packing Tape,BOPP Packing Tape,Carton Box Packing,Seals Cartons,
Cello Tape,Transparent Adhesive Tape,"Office, Paper Work",Joins Paper and Light Materials,
Double Sided Tape,Double Sided Adhesive Tape,"Glass, Decoration, Mounting",Bonds Two Surfaces,
Aluminum Tape,Aluminum Foil Tape,"HVAC Duct, Insulation",Seals Duct and Insulation Joints,
Foam Tape,Adhesive Foam Tape,"Door, Window, Glass",Seals Gaps and Reduces Vibration,
Filament Tape,Fiberglass Reinforced Tape,Heavy Packaging,Provides High Strength Packing,
Kraft Tape,Kraft Paper Tape,Eco-Friendly Packaging,Seals Paper Boxes,
Anti Slip Tape,Anti Skid Tape,"Stairs, Ramps, Floors",Prevents Slipping,
Copper Tape,Copper Foil Tape,"Electrical, Earthing, EMI Shielding",Conducts Electricity and Shields EMI,
Reflective Tape,Reflective Safety Tape,"Vehicles, Road Safety",Improves Night Visibility,
Hazard Tape,Warning Barricade Tape,"Construction Site, Restricted Area",Marks Hazard Zones,
Gaffer Tape,Gaffer Cloth Tape,"Stage, Film, Events",Secures Cables Without Residue,
Nano Tape,Reusable Nano Adhesive Tape,"Home Decoration, Wall Mounting",Reusable Strong Adhesive,
Velcro Tape,Hook and Loop Tape,"Curtains, Cable Management",Reusable Fastening,
Painter's Tape,Painter's Masking Tape,Wall Painting,Creates Clean Paint Edges,
Pipe Wrapping Tape,Anti Corrosion Wrapping Tape,Underground GI/MS Pipe,Protects Pipe from Corrosion,
Bitumen Tape,Bituminous Waterproof Tape,"Roof, Pipe, Tank",Waterproof Sealing,
Self Fusing Tape,Silicone Self Amalgamating Tape,"Pipe Repair, Electrical",Leak Proof Sealing Without Adhesive,
PVC Warning Tape,Underground Warning Tape,Underground Utility Lines,Marks Buried Pipes and Cables,
Thread Seal Tape,Thread Seal Tape,Threaded Pipe Connections,Seals Threaded Joints,
Pipe Clamp,Pipe Clamp,Wall Mounted Pipe,Supports Pipe,
U Clamp,U Clamp,Pipe Support,Fixes Pipe to Structure,
Pipe Hanger,Pipe Hanger,Ceiling Pipeline,Suspends Pipe,
Clevis Hanger,Clevis Hanger,Horizontal Pipe Support,Holds Suspended Pipe,
Split Clamp,Split Pipe Clamp,Wall & Ceiling Pipe,Secures Pipe,
Saddle Clamp,Saddle Clamp,HDPE/PVC Pipe,Takes Branch Connection,
Riser Clamp,Riser Clamp,Vertical Riser Pipe,Supports Vertical Pipe,
Guide Support,Pipe Guide,Long Pipeline,Guides Pipe Movement,
Anchor Support,Pipe Anchor,Long Pipeline,Prevents Pipe Movement,
Spring Hanger,Spring Pipe Hanger,Hot Water & Steam Pipe,Absorbs Expansion,
Roller Support,Pipe Roller Support,Large Diameter Pipe,Allows Pipe Movement,
Channel Support,Unistrut Channel Support,Pipe Rack,Supports Multiple Pipes,
Pipe Shoe,Pipe Shoe,Industrial Pipeline,Protects Pipe at Support,
Rubber Pad,Anti Vibration Rubber Pad,Pump & Pipe Support,Reduces Vibration,
Rubber Gasket,Rubber Gasket,Flange Joint,Prevents Leakage,
O Ring,O Ring,Valve & Pump,Provides Sealing,
Flange Guard,Flange Safety Guard,Chemical Pipeline,Protects from Leakage Spray,
Expansion Joint,Rubber/Metal Expansion Joint,Long Pipeline,Absorbs Thermal Expansion,
Flexible Connector,Flexible Hose Connector,Pump & Water Heater,Absorbs Vibration,
Bellows,Metal Bellows,Steam & Hot Water Line,Compensates Expansion,
Pipe Sleeve,PVC/MS Sleeve,Wall & Slab Crossing,Protects Pipe Through Concrete,
Escutcheon Plate,Pipe Cover Plate,"Wash Basin, WC",Covers Pipe Opening,
Pipe Cover,Pipe Sleeve Cover,Visible Pipe,Gives Neat Finish,
Insulation,Glass Wool / Nitrile Rubber Insulation,Hot & Cold Water Pipe,Reduces Heat Loss/Gain,
Aluminium Cladding,Aluminium Cladding,Outdoor Insulated Pipe,Protects Insulation,
Pipe Marker,Pipe Identification Marker,Industrial Pipeline,Identifies Pipe Service,
Flow Arrow,Flow Direction Sticker,Pipeline,Shows Flow Direction,
Warning Tape,Underground Warning Tape,Underground Pipeline,Marks Buried Pipe,
Pipe Label,Pipe Label,Building Services,Identifies Pipe,
Pipe Saddle,Pipe Saddle Support,Horizontal Pipe,Supports Pipe,
Anchor Bolt,Anchor Fastener,Support Installation,Fixes Support to Concrete,
Thread Seal Tape,PTFE (Teflon) Tape,Threaded Joint,Seals Pipe Threads,
Pipe Wrapping Tape,Anti Corrosion Tape,Underground GI/MS Pipe,Protects from Corrosion,
PVC Solvent Cement,PVC Solvent Cement,PVC/UPVC Pipe,Joins Plastic Pipes,
Thread Sealant,Thread Sealant,Threaded Pipe,Prevents Leakage,
Silicone Sealant,Silicone Sealant,Sanitary Fixtures,Seals Gaps Around Fixtures,
P Trap,P Trap,"Wash Basin, Sink, Wall Hung WC",Prevents sewer gas by holding water,
S Trap,S Trap,Floor Mounted WC,Prevents sewer gas in floor outlet connection,
Bottle Trap,Bottle Trap,Wash Basin,Prevents sewer gas and collects small debris,
Floor Trap,FT (Floor Trap),"Bathroom, Toilet Floor",Collects floor wastewater and blocks sewer gas,
Gully Trap,GT (Gully Trap),"Outside Building, Kitchen Drain",Receives wastewater and blocks sewer gas,
Nahani Trap,Nahani Trap,Bathroom Floor,Drains bath water and prevents sewer gas,
Q Trap,Q Trap,"European WC, Special Installations",Connects WC where outlet direction requires,
Drum Trap,Drum Trap,Bathtub (Old Installations),Holds water seal and traps debris,
Running Trap,Running Trap,Underground Drainage Line,Prevents sewer gas in drain line,
Intercepting Trap,Intercepting Trap,Before Public Sewer Line,Stops sewer gas entering the building,
Grease Trap,Grease Trap,"Hotel Kitchen, Restaurant",Separates grease and oil from wastewater,
Lint Trap,Lint Trap,"Laundry, Washing Machine",Collects lint before entering drainage,
Sand Trap,Sand Trap,"Car Wash, Basement Drain",Collects sand and heavy particles,
Oil Trap,Oil Separator Trap,"Garage, Workshop",Separates oil from wastewater,
Hair Trap,Hair Trap,"Salon, Bathroom Shower",Prevents hair from blocking drainage,
Bell Trap,Bell Trap,Old Bathroom Floor,Collects floor water and blocks sewer gas,
Deep Seal Trap,Deep Seal Trap,"Hospital, Laboratory",Provides deeper water seal against sewer gas,
Bib Cock,Bib Cock,"Garden, Bathroom, Washing Area",Provides water outlet,
Pillar Cock,Pillar Cock,Wash Basin,Controls water flow to basin,
Angle Cock,Angle Cock,"Wash Basin, WC, Geyser",ON/OFF water supply to fixture,
Stop Cock,Stop Cock,Main Water Supply Line,Isolates water supply,
Long Body Bib Cock,Long Body Bib Cock,"Kitchen, Washing Area",Water outlet with long body,
Short Body Bib Cock,Short Body Bib Cock,"Bathroom, Garden",Compact water outlet,
Wall Mixer,Wall Mixer,Bathroom,Mixes hot and cold water,
Concealed Mixer,Concealed Mixer,Shower Area,Controls concealed hot and cold water,
Single Lever Mixer,Single Lever Mixer,"Kitchen, Wash Basin",Controls flow and temperature with one lever,
Center Hole Basin Mixer,Center Hole Basin Mixer,Wash Basin,Mixes hot and cold water,
Deck Mounted Mixer,Deck Mounted Mixer,"Wash Basin, Bathtub",Mounted on countertop or deck,
Wall Mounted Basin Mixer,Wall Mounted Basin Mixer,Wash Basin,Saves counter space,
Sink Cock,Sink Cock,Kitchen Sink,Provides water to sink,
Swan Neck Tap,Swan Neck Faucet,"Kitchen, Wash Basin",High curved outlet for easy washing,
Gooseneck Faucet,Gooseneck Faucet,Kitchen Sink,High arc water outlet,
Pillar Tap,Pillar Tap,Wash Basin,Simple basin water outlet,
Sensor Tap,Automatic Sensor Tap,"Airport, Hospital, Mall",Touch-free automatic operation,
Push Tap,Self Closing Push Tap,Public Washroom,Automatically closes after use,
Self Closing Tap,Self Closing Tap,Public Toilets,Saves water by automatic closing,
Quarter Turn Tap,Quarter Turn Tap,General Plumbing,Opens/closes with 90° turn,
Two Way Bib Cock,Two Way Bib Cock,Washing Machine + Tap,Supplies water to two outlets,
Three Way Mixer,Three Way Mixer,Shower System,Controls multiple water outlets,
Bath Tub Mixer,Bath Tub Mixer,Bathtub,Mixes hot and cold water,
Shower Mixer,Shower Mixer,Shower Area,Controls shower temperature,
Health Faucet,Health Faucet (Jet Spray),WC,Personal cleaning after toilet,
Shower Head,Rain Shower Head,Bathroom,Provides shower spray,
Hand Shower,Hand Shower,Bathroom,Handheld shower for bathing,
Garden Tap,Garden Faucet,"Garden, Outdoor",Outdoor water supply,
Hose Bib Tap,Hose Bib Cock,"Garden, Car Wash",Connects hose pipe,
Ball Cock,Float Ball Cock,Overhead Water Tank,Automatically controls tank water level,
Hydro Test,Hydrostatic Pressure Test,"Water Supply, Fire Fighting Pipeline",Checks leakage and pressure strength,
Leak Test,Leakage Test,All Plumbing Pipelines,Detects water leakage,
Air Pressure Test,Compressed Air Pressure Test,"Drainage, Gas Pipeline",Checks air leakage in pipeline,
Water Tightness Test,Water Tightness Test,"Water Tank, Bathroom, Terrace",Checks water leakage through structure,
Drainage Test,Drainage Flow Test,Drainage & Sewer Pipeline,Checks proper wastewater flow,
Smoke Test,Smoke Test,Drainage & Vent System,Detects cracks and leakage in drainage pipes,
